C1	C2	C3	C4
202,2	-157,345	569,8484	41,4
202,2	-133,3685	569,8484	41,4
202,2	-110,547	569,8484	41,4
202,2	-88,6828	569,8484	41,4
202,2	-67,6071	569,8484	41,4
202,2	-47,17005	569,8484	41,4
202,2	-27,2375	569,8484	41,4
202,2	-7,68743	569,8484	41,4
202,2	9,65961	569,8484	-40,8
202,2	30,57205	569,8484	-40,8
202,2	51,93925	569,8484	-40,8
202,2	73,9121	569,8484	-40,8
202,2	96,658	569,8484	-40,8
202,2	120,3665	569,8484	-40,8
202,2	145,255	569,8484	-40,8
202,2	171,5795	569,8484	-40,8
202,2	199,645	569,8484	-40,8
