          250  ! number of los
mkIIlbsrp 
      3.0000      0.3000      0.0000 ! origin for (p,ksi,zeta)
! los  cam             Rdet(m)     Zdet(m)  fidet(deg)      Rst(m)      Zst(m)   fist(deg)     Rend(m)     Zend(m)  fiend(deg)        p(m)    ksi(deg)   zeta(deg)  etendue(srm2) type 
    1 KB3H01A          3.0471     -1.4263      0.0000      2.9843     -1.3348      0.0000      1.8072      0.3796      0.0000      0.9383    124.4720      0.0000   0.245987E-07   2
    2 KB3H01B          3.0440     -1.4304      0.0000      2.9520     -1.3446      0.0000      1.8687     -0.3335      0.0000      1.2350    136.9750      0.0000   0.240838E-07   2
    3 KB3H01C          3.0410     -1.4344      0.0000      2.9261     -1.3667      0.0000      2.0319     -0.8394      0.0000      1.4732    149.4760      0.0000   0.228754E-07   2
    4 KB3H01D          3.0379     -1.4385      0.0000      2.9015     -1.3941      0.0000      2.1621     -1.1533      0.0000      1.6413    161.9610      0.0000   0.192657E-07   2
    5 KB3H02A          3.0451     -1.4237      0.0000      2.9011     -1.3948      0.0000      2.2136     -1.2571      0.0000      1.6813    168.6720      0.0000   0.169859E-07   2
    6 KB3H02B          3.0455     -1.4288      0.0000      2.8874     -1.4264      0.0000      2.4111     -1.4194      0.0000      1.7279    179.1470      0.0000   0.170505E-07   2
    7 KB3H02C          3.0459     -1.4338      0.0000      2.8864     -1.4608      0.0000      2.4050     -1.5424      0.0000      1.7171    189.6190      0.0000   0.103049E-07   2
    8 KB3H02D          3.0463     -1.4389      0.0000      2.8900     -1.4961      0.0000      2.4112     -1.6713      0.0000      1.6489    200.0960      0.0000   0.100000E-07   2
    9 KB3H03A          3.0082     -1.5226      0.0000      2.8881     -1.4218      0.0000      1.9469     -0.6321      0.0000      1.3909    140.0000      0.0000   0.599826E-07   2
   10 KB3H03B          3.0082     -1.5276      0.0000      2.8863     -1.4620      0.0000      2.1189     -1.0490      0.0000      1.6055    151.7140      0.0000   0.785336E-07   2
   11 KB3H03C          3.0082     -1.5326      0.0000      2.8903     -1.4975      0.0000      2.3661     -1.3415      0.0000      1.7541    163.4290      0.0000   0.103526E-06   2
   12 KB3H03D          3.0082     -1.5376      0.0000      2.8963     -1.5281      0.0000      2.4105     -1.4868      0.0000      1.8303    175.1430      0.0000   0.109246E-06   2
   13 KB3H04A          3.0082     -1.5223      0.0000      2.8945     -1.5360      0.0000      2.4188     -1.5932      0.0000      1.8102    186.8570      0.0000   0.104764E-06   2
   14 KB3H04B          3.0082     -1.5274      0.0000      2.8871     -1.5681      0.0000      2.6682     -1.6416      0.0000      1.7349    198.5710      0.0000   0.899146E-07   2
   15 KB3H04C          3.0082     -1.5324      0.0000      2.8822     -1.6060      0.0000      2.7691     -1.6721      0.0000      1.5864    210.2860      0.0000   0.730631E-07   2
   16 KB3H04D          3.0082     -1.5374      0.0000      2.8881     -1.6456      0.0000      2.8179     -1.7088      0.0000      1.3709    222.0000      0.0000   0.554912E-07   2
   17 KB3H05A          2.3170     -1.5956      0.0000      2.4189     -1.6327      0.0000      2.5414     -1.6773      0.0000     -2.0149    340.0000      0.0000   0.748019E-07   2
   18 KB3H05B          2.3160     -1.5907      0.0000      2.4210     -1.6030      0.0000      2.5721     -1.6206      0.0000     -1.9573    353.3330      0.0000   0.890128E-07   2
   19 KB3H05C          2.3149     -1.5858      0.0000      2.4136     -1.5743      0.0000      2.8988     -1.5175      0.0000     -1.7935      6.6670      0.0000   0.944142E-07   2
   20 KB3H05D          2.3138     -1.5809      0.0000      2.4063     -1.5472      0.0000      2.9438     -1.3516      0.0000     -1.5328     20.0000      0.0000   0.881582E-07   2
   21 KB3H06A          2.2780     -1.4802      0.0000      2.4207     -1.6070      0.0000      2.5278     -1.7022      0.0000     -1.8104    318.3810      0.0000   0.108307E-07   2
   22 KB3H06B          2.2805     -1.4758      0.0000      2.4104     -1.5622      0.0000      2.5525     -1.6567      0.0000     -1.8771    326.3710      0.0000   0.133894E-07   2
   23 KB3H06C          2.2831     -1.4714      0.0000      2.4012     -1.5281      0.0000      2.5863     -1.6170      0.0000     -1.9072    334.3570      0.0000   0.152974E-07   2
   24 KB3H06D          2.2856     -1.4670      0.0000      2.4067     -1.5055      0.0000      2.8918     -1.6599      0.0000     -1.9004    342.3450      0.0000   0.149227E-07   2
   25 KB3H07A          2.2787     -1.4354      0.0000      2.4126     -1.4639      0.0000      2.8878     -1.5648      0.0000     -1.8474    348.0070      0.0000   0.165512E-07   2
   26 KB3H07B          2.2783     -1.4303      0.0000      2.4129     -1.4327      0.0000      2.8870     -1.4410      0.0000     -1.7427    358.9910      0.0000   0.182252E-07   2
   27 KB3H07C          2.2779     -1.4253      0.0000      2.4079     -1.4024      0.0000      3.0833     -1.2832      0.0000     -1.5736     10.0031      0.0000   0.185247E-07   2
   28 KB3H07D          2.2775     -1.4202      0.0000      2.3953     -1.3750      0.0000      3.3955     -0.9911      0.0000     -1.3471     20.9961      0.0000   0.178949E-07   2
   29 KB401A           2.1426      1.8931      0.0000      2.1051      1.6916      0.0000      1.8116      0.1136      0.0000     -1.1343    259.4611      0.0000   0.548230E-07   2
   30 KB401B           2.1375      1.8930      0.0000      2.1294      1.7383      0.0000      1.9963     -0.7807      0.0000     -0.9453    266.9753      0.0000   0.587940E-07   2
   31 KB401C           2.1325      1.8930      0.0000      2.1427      1.7659      0.0000      2.3976     -1.3863      0.0000     -0.7363    274.6225      0.0000   0.587940E-07   2
   32 KB401D           2.1274      1.8929      0.0000      2.1516      1.7805      0.0000      2.8797     -1.6046      0.0000     -0.5181    282.1391      0.0000   0.548230E-07   2
   33 KB402A           3.1826      2.3142      0.0000      3.0221      1.9099      0.0000      1.9770     -0.7227      0.0000     -0.5735    248.3475      0.0000   0.647840E-07   2
   34 KB402B           3.1776      2.3149      0.0000      3.0794      1.8681      0.0000      2.3720     -1.3501      0.0000     -0.2591    257.6032      0.0000   0.721200E-07   2
   35 KB402C           3.1725      2.3156      0.0000      3.1478      1.8212      0.0000      2.9898     -1.3355      0.0000      0.0716    267.1348      0.0000   0.721200E-07   2
   36 KB402D           3.1675      2.3162      0.0000      3.2304      1.7548      0.0000      3.5204     -0.8341      0.0000      0.3909    276.3925      0.0000   0.647840E-07   2
   37 KB403A           3.1980      2.3011      0.0000      2.7170      2.0147      0.0000      2.0768      1.6336      0.0000     -1.6181    210.7668      0.0000   0.647840E-07   2
   38 KB403B           3.1944      2.3047      0.0000      2.8231      1.9927      0.0000      1.9102      1.2255      0.0000     -1.4096    220.0429      0.0000   0.721200E-07   2
   39 KB403C           3.1909      2.3083      0.0000      2.9022      1.9696      0.0000      1.8416      0.7253      0.0000     -1.1575    229.5591      0.0000   0.721200E-07   2
   40 KB403D           3.1873      2.3119      0.0000      2.9660      1.9461      0.0000      1.8165      0.0455      0.0000     -0.8810    238.8331      0.0000   0.647840E-07   2
   41 KB404A           3.8278      1.2240      0.0000      3.7347      1.0877      0.0000      2.1757     -1.1958      0.0000      0.1626    235.6776      0.0000   0.351480E-07   2
   42 KB404B           3.8233      1.2263      0.0000      3.7404      1.0808      0.0000      2.3625     -1.3395      0.0000      0.2571    240.3458      0.0000   0.361010E-07   2
   43 KB404C           3.8187      1.2287      0.0000      3.7449      1.0700      0.0000      2.4522     -1.7090      0.0000      0.3507    245.0536      0.0000   0.361010E-07   2
   44 KB404D           3.8142      1.2310      0.0000      3.7501      1.0575      0.0000      2.7433     -1.6675      0.0000      0.4411    249.7216      0.0000   0.351480E-07   2
   45 KB405A           3.9207      1.1092      0.0000      3.8119      0.8676      0.0000      2.6691     -1.6681      0.0000      0.5070    245.7405      0.0000   0.309560E-07   2
   46 KB405B           3.9159      1.1107      0.0000      3.8201      0.8489      0.0000      3.0247     -1.3251      0.0000      0.5816    249.9029      0.0000   0.316200E-07   2
   47 KB405C           3.9111      1.1123      0.0000      3.8275      0.8190      0.0000      3.2506     -1.2055      0.0000      0.6536    254.0953      0.0000   0.316200E-07   2
   48 KB405D           3.9063      1.1139      0.0000      3.8373      0.7822      0.0000      3.4929     -0.8749      0.0000      0.7217    258.2578      0.0000   0.309560E-07   2
   49 KB406A           3.9889      0.9419      0.0000      3.6451      1.2839      0.0000      2.9981      1.9274      0.0000     -1.1525    135.1551      0.0000   0.354500E-07   2
   50 KB406B           3.9920      0.9460      0.0000      3.6873      1.1974      0.0000      2.6962      2.0152      0.0000     -1.1296    140.4711      0.0000   0.366990E-07   2
   51 KB406C           3.9950      0.9500      0.0000      3.7148      1.1403      0.0000      2.4615      1.9915      0.0000     -1.0968    145.8188      0.0000   0.366990E-07   2
   52 KB406D           3.9981      0.9541      0.0000      3.7310      1.1013      0.0000      2.2673      1.9081      0.0000     -1.0546    151.1352      0.0000   0.354500E-07   2
   53 KB407A           4.0892      0.8284      0.0000      3.7822      0.9623      0.0000      2.1093      1.6918      0.0000     -0.9197    156.4402      0.0000   0.789230E-07   2
   54 KB407B           4.0897      0.8335      0.0000      3.8072      0.8931      0.0000      1.9377      1.2874      0.0000     -0.7469    168.0891      0.0000   0.937840E-07   2
   55 KB407C           4.0903      0.8385      0.0000      3.8228      0.8372      0.0000      1.8578      0.8273      0.0000     -0.5331    180.2872      0.0000   0.937840E-07   2
   56 KB407D           4.0908      0.8436      0.0000      3.8315      0.7888      0.0000      1.8112      0.3616      0.0000     -0.3062    191.9394      0.0000   0.789230E-07   2
   57 KB408A           4.1823      0.7234      0.0000      3.8684      0.6258      0.0000      1.8226     -0.0105      0.0000     -0.0532    197.2769      0.0000   0.605030E-07   2
   58 KB408B           4.1798      0.7278      0.0000      3.8749      0.5802      0.0000      1.8811     -0.3848      0.0000      0.1289    205.8275      0.0000   0.662490E-07   2
   59 KB408C           4.1772      0.7322      0.0000      3.8813      0.5283      0.0000      1.9935     -0.7724      0.0000      0.3120    214.5669      0.0000   0.662490E-07   2
   60 KB408D           4.1747      0.7366      0.0000      3.8863      0.4667      0.0000      2.1448     -1.1629      0.0000      0.4838    223.0995      0.0000   0.605030E-07   2
   61 KB409A           4.2825      0.6095      0.0000      3.8882      0.2333      0.0000      2.2710     -1.3094      0.0000      0.6613    223.6495      0.0000   0.403600E-07   2
   62 KB409B           4.2785      0.6126      0.0000      3.8867      0.1587      0.0000      2.4084     -1.5541      0.0000      0.7636    229.2027      0.0000   0.419160E-07   2
   63 KB409C           4.2745      0.6158      0.0000      3.8738      0.0479      0.0000      2.6624     -1.6690      0.0000      0.8593    234.7940      0.0000   0.419160E-07   2
   64 KB409D           4.2705      0.6189      0.0000      3.8403     -0.1366      0.0000      3.2291     -1.2097      0.0000      0.9462    240.3390      0.0000   0.403600E-07   2
   65 KB410A           4.1743     -0.3626      0.0000      3.8912      0.3723      0.0000      3.4087      1.6251      0.0000     -0.8577    111.0650      0.0000   0.348300E-07   2
   66 KB410B           4.1788     -0.3602      0.0000      3.8892      0.2385      0.0000      3.1121      1.8454      0.0000     -0.7738    115.8087      0.0000   0.358030E-07   2
   67 KB410C           4.1832     -0.3578      0.0000      3.8843      0.1480      0.0000      2.7878      2.0031      0.0000     -0.6839    120.5851      0.0000   0.358030E-07   2
   68 KB410D           4.1877     -0.3554      0.0000      3.8784      0.0811      0.0000      2.5165      2.0024      0.0000     -0.5900    125.3283      0.0000   0.348300E-07   2
   69 KB411A           4.0694     -0.4546      0.0000      3.8334     -0.1600      0.0000      2.2110      1.8653      0.0000     -0.3629    128.6981      0.0000   0.676270E-07   2
   70 KB411B           4.0725     -0.4505      0.0000      3.8150     -0.2209      0.0000      1.9858      1.4100      0.0000     -0.1535    138.2795      0.0000   0.758640E-07   2
   71 KB411C           4.0755     -0.4465      0.0000      3.7995     -0.2749      0.0000      1.8675      0.9264      0.0000      0.0660    148.1282      0.0000   0.758640E-07   2
   72 KB411D           4.0786     -0.4424      0.0000      3.7871     -0.3230      0.0000      1.8138      0.4856      0.0000      0.2780    157.7193      0.0000   0.676270E-07   2
   73 KB412A           3.9519     -0.5461      0.0000      3.7229     -0.4830      0.0000      1.8190      0.0422      0.0000      0.5625    164.5785      0.0000   0.672270E-07   2
   74 KB412B           3.9520     -0.5410      0.0000      3.7082     -0.5160      0.0000      1.8729     -0.3274      0.0000      0.7393    174.1336      0.0000   0.753580E-07   2
   75 KB412C           3.9520     -0.5360      0.0000      3.6877     -0.5543      0.0000      1.9615     -0.6740      0.0000      0.8998    183.9658      0.0000   0.753580E-07   2
   76 KB412D           3.9521     -0.5309      0.0000      3.6653     -0.5998      0.0000      2.0695     -0.9834      0.0000      1.0304    193.5169      0.0000   0.672270E-07   2
   77 KB413A           3.8373     -0.6349      0.0000      3.6103     -0.7048      0.0000      2.1434     -1.1569      0.0000      1.1400    197.1274      0.0000   0.405760E-07   2
