C1	C2
3,283423	-1,121723
3,312109	-1,080135
3,328595	-1,060241
3,352693	-1,035806
3,373475	-1,0141
3,423524	-0,956912
3,447332	-0,9291
3,494355	-0,868546
3,516903	-0,839461
3,559339	-0,7779792
3,580714	-0,7464992
3,619489	-0,683205
3,639011	-0,6501607
3,673834	-0,5837918
3,688177	-0,5569077
3,722333	-0,4810559
3,735168	-0,4535353
3,76843	-0,3673161
3,776086	-0,3480592
3,802629	-0,2648715
3,810877	-0,2400911
3,833468	-0,1535267
3,839853	-0,1303105
3,85664	-0,04590373
3,862153	-0,01960213
3,875269	0,07335966
3,878348	0,09383563
3,88566	0,1813278
3,888104	0,2015125
3,890537	0,2959954
3,891463	0,3189203
3,888685	0,4131012
3,888395	0,4323581
3,880448	0,5256651
3,87893	0,5455154
3,865804	0,6381751
3,863661	0,6556304
3,844731	0,7498112
3,841081	0,7690681
3,817273	0,8595918
3,81302	0,8770363
3,783699	0,9678512
3,779122	0,9837422
3,744331	1,073964
3,738237	1,090189
3,698869	1,177336
3,691838	1,193562
3,675062	1,225969
3,667406	1,243371
3,637493	1,341219
3,64237	1,41527
3,621642	1,43389
3,621007	1,434527
3,594173	1,458962
3,593538	1,459307
3,566995	1,483742
3,566371	1,484336
3,539537	1,508523
3,539193	1,509116
3,512359	1,533594
3,511735	1,533896
3,485192	1,558375
3,484556	1,558968
3,457723	1,583112
3,457088	1,583749
3,430556	1,608195
3,429963	1,608529
3,403378	1,632964
3,402785	1,633601
3,382014	1,652232
3,331664	1,712193
3,281905	1,746747
3,186383	1,825641
3,136916	1,860487
3,001101	1,891676
2,868936	1,947979
2,852741	1,953794
2,775815	1,976417
2,757811	1,980387
2,679066	1,99138
2,658919	1,992599
2,578042	1,99138
2,56062	1,989568
2,480367	1,976083
2,466024	1,97276
2,388797	1,947343
2,374454	1,941528
2,298163	1,903014
2,287772	1,896563
2,195567	1,831154
2,182786	1,83205
2,165956	1,799048
2,165665	1,798121
2,149179	1,766004
2,148878	1,765379
2,132392	1,732971
2,132101	1,732378
2,115907	1,700272
2,115314	1,699344
2,099119	1,667228
2,098829	1,666634
2,082343	1,634194
2,082042	1,633601
2,068291	1,606674
2,067699	1,60608
2,054874	1,572119
2,054573	1,571526
2,041748	1,537564
2,041457	1,536971
2,028622	1,503301
2,028331	1,502417
2,015507	1,468747
2,015205	1,467862
2,002079	1,434192
2,001746	1,433307
1,988964	1,399627
1,98862	1,399044
1,975838	1,365072
1,975504	1,36449
1,961495	1,327777
1,930032	1,280072
1,927297	1,268151
1,922709	1,261117
1,942522	1,241558
1,927587	1,165415
1,925154	1,144928
1,91262	1,067556
1,909885	1,046745
1,898568	0,968779
1,895833	0,9467387
1,886077	0,8687725
1,883342	0,8470775
1,873253	0,7690681
1,870518	0,7479556
1,860751	0,6702915
1,858608	0,6488877
1,850069	0,5715149
1,848562	0,5510281
1,842123	0,4727383
1,841197	0,4519602
1,837536	0,3739508
1,837245	0,3528815
1,836028	0,2755087
1,83661	0,2538136
1,838171	0,1760955
1,839388	0,1546918
1,843339	0,07643429
1,845192	0,05561309
1,851878	-0,02263361
1,854323	-0,04316353
1,863486	-0,1201912
1,866857	-0,1410124
1,878755	-0,2186765
1,882707	-0,2388612
1,89706	-0,3159428
1,901637	-0,335793
1,918424	-0,4125726
1,923635	-0,432466
1,942856	-0,5079833
1,948961	-0,5278659
1,970917	-0,6030919
1,959934	-0,6226509
1,962088	-0,6538287
2,009402	-0,7804712
2,020676	-0,8079811
2,020966	-0,8085744
2,034728	-0,8419099
2,035018	-0,8428377
2,048769	-0,8761732
2,04907	-0,877101
2,063112	-0,9104257
2,063413	-0,9110191
2,077164	-0,9443545
2,077454	-0,9452823
2,091216	-0,9786178
2,091507	-0,9792004
2,105225	-1,01287
2,105849	-1,013766
2,119568	-1,04709
2,119901	-1,047727
2,133609	-1,081062
2,133953	-1,08199
2,147661	-1,115326
2,147952	-1,115908
2,162004	-1,149535
2,162295	-1,150172
2,176056	-1,183507
2,176347	-1,184435
2,190097	-1,21777
2,190399	-1,218353
2,201705	-1,245874
2,144926	-1,27251
2,293867	-1,312242
2,293867	-1,329061
2,295676	-1,332136
2,360111	-1,332136
2,39641	-1,370952
2,409245	-1,397879
2,412604	-1,419585
2,413197	-1,429402
2,413197	-1,466362
2,412314	-1,474615
2,407727	-1,502179
2,398262	-1,514402
2,419302	-1,590254
2,421445	-1,608292
2,419001	-1,640991
2,416567	-1,654142
2,405874	-1,687768
2,315231	-1,737038
2,353683	-1,737038
2,374454	-1,73337
2,427539	-1,711621
2,446469	-1,707953
2,52403	-1,707953
2,524913	-1,698179
2,559403	-1,653214
2,553007	-1,636104
2,574079	-1,599694
2,633303	-1,615283
2,633895	-1,618066
2,694001	-1,633655
2,694636	-1,636395
2,754743	-1,652923
2,755367	-1,654767
2,814892	-1,670367
2,814892	-1,706141
2,804501	-1,709809
2,857328	-1,709809
2,878702	-1,714404
2,936698	-1,739767
2,957437	-1,744363
2,987049	-1,744363
2,897923	-1,680432
2,882062	-1,620806
2,881728	-1,589617
2,900658	-1,508285
2,890601	-1,496364
2,888157	-1,487173
2,886014	-1,471875
2,886014	-1,433361
2,889675	-1,414989
2,900949	-1,390543
2,913483	-1,374026
2,963532	-1,332438
3,00993	-1,332438
3,060281	-1,295143
3,194287	-1,211319
3,202535	-1,206141
3,306639	-1,206141
3,283423	-1,121723
